Name,Composition types,Definition / Description,Best Used When,Strengths,Weaknesses (Avoid),Funnel Fit,Compatible Media,Compatible Styles,Example 1 URL,Example 2 URL,More Info URL,,https://chatgpt.com/share/68493396-2d50-8005-ac86-3cef2f84ebee
Testimonial,"User focused, textual","Real customer or peer endorses the product, supplying instant social proof [7]",Validating credibility of a new or high-price offer,• High trust• Humanises brand• Fast to create,• Looks fake if vague• Limited depth• Fatigues if over-used,Consideration / Conversion,"Single Image, Short-Form Video, Carousel","Authentic UGC, Bold Colors, Minimalist",https://www.wordstream.com/blog/ws/2022/03/03/testimonial-advertising,https://www.goldcast.io/blog-post/linkedin-video-ad-examples,Same as Example 1,,
Thought Leadership,"User focused, textual",Shares unique insight or POV to establish authority and mindshare [4],Entering a new market or building brand expertise,• Positions expertise• Drives engagement• Evergreen asset,• Hard ROI attribution• Needs credible voice• Longer craft time,Awareness,"Short-Form Video, Document Ad, Single Image","Minimalist, Cinematic, Illustration-Led",https://www.goldcast.io/blog-post/linkedin-video-ad-examples,https://www.linkedin.com/pulse/top-performing-ad-formats-2025-what-works-programmatic-ubidex-ucy2e,Same as Example 1,,
Product Demo,Text + product Chips,Shows workflow or feature in action to prove value [4][2],Launching a feature or overcoming technical doubts,• Concrete proof• Clarifies value prop• Quick evaluation,• Dry if too technical• Higher production cost• Exposes weaknesses,Consideration / Conversion,"Short-Form Video, Carousel, Document Ad","Cinematic, Bold Colors, Infographic",https://www.goldcast.io/blog-post/linkedin-video-ad-examples,https://business.linkedin.com/marketing-solutions/success/ads-guide,Same as Example 1,,
Data-Backed Insight,"Textual, general",Highlights compelling stat/benchmark to frame the problem [6],"Sparking curiosity, adding authority with numbers",• Quick credibility• Highly scannable• Prompts clicks,• Feels dry• Data can age• Needs context,Awareness / Consideration,"Single Image, Carousel, Document Ad","Infographic, Bold Colors, Minimalist",https://sproutsocial.com/insights/social-media-benchmarks-by-industry/,https://visme.co/blog/infographic-best-practices/,Same as Example 1,,
Limited-Time Offer,"Textual, general","Uses urgency/scarcity (discount, trial) to drive action [2]",End-of-quarter push or event sign-ups,• Fast response• Clear KPI• Works across segments,• Trains discount waiting• Lowers perceived value• Short shelf-life,Conversion,"Single Image, Conversation Ad, Short-Form Video","Bold Colors, Authentic UGC, Minimalist",https://www.linkedin.com/help/lms/answer/a426057,https://www.wordstream.com/blog/ws/2019/03/05/linkedin-advertising,Same as Example 2,,
Case Study / Success Story,"User focused, textual",Narrative of customer results using the product [3],Nurturing leads evaluating options,• Story + proof• High relatability• Repurposable,• Longer read• Needs willing client• Dates quickly,Consideration / Conversion,"Document Ad, Carousel, Short-Form Video","Authentic UGC, Cinematic, Infographic",https://business.linkedin.com/content/dam/me/business/en-us/marketing-solutions/cx/2024/pdf/linkedin-document-ads-best-practices-guide.pdf,https://www.goldcast.io/blog-post/linkedin-video-ad-examples,Same as Example 1,,
Event Invitation,,"Promotes a webinar, conference, or in-person session with date & CTA [12]",Driving registrations to owned events,• Captures intent• Clear next step• Warm lead pool,• Performance tied to topic appeal• Short promotion window• Competes with free content,Awareness / Consideration,"Single Image, Event Ad, Conversation Ad","Bold Colors, Minimalist, Authentic UGC",[PLACEHOLDER],[PLACEHOLDER],https://business.linkedin.com/marketing-solutions/event-ads,,
Lead Magnet,general,"Offers gated asset (e-book, checklist) in exchange for contact info [13]",Building email list or top-funnel leads,• High perceived value• Captures detailed fields• Evergreen reuse,• Needs strong asset• Lower quality if too broad• Follow-up required,Awareness / Consideration,"Document Ad, Conversation Ad, Carousel","Minimalist, Infographic, Illustration-Led",[PLACEHOLDER],[PLACEHOLDER],https://contentmarketinginstitute.com/articles/lead-magnet-ideas,,
Competitive Comparison,,Positions product against rivals to highlight advantage [14],Late-stage buyers weighing options,• Clear differentiation• Drives switchers• Memorable contrasts,• Legal/compliance risk• May promote competitor• Can appear negative,Consideration / Conversion,"Carousel, Document Ad, Single Image","Infographic, Bold Colors, Minimalist",[PLACEHOLDER],[PLACEHOLDER],https://b2linked.com/blog/competitive-linkedin-ads,,
Founder Story,,Personal narrative from founder to humanize brand mission [4],Early-stage startups building trust,• Emotional hook• Unique voice• PR synergy,• Founder time-bound• Limited scalability• Can feel ego-centric,Awareness / Consideration,"Short-Form Video, Single Image","Authentic UGC, Cinematic, Minimalist",[PLACEHOLDER],[PLACEHOLDER],Same as Ref 4,,
